currency,strategy_id,parameters,evaluated_horizons,min_hit_lift,median_hit_lift,min_benefit_bps,min_benefit_ci_low_95,signals_per_week,passes_hard_screen,passes_case_screen
TJS,level_L120_p80,"{""higher_share"": 0.8, ""lookback"": 120}",4,1.04818750909885,1.1192893382114755,19.733526498393125,1.5808321043866598,0.3935483870967742,False,False
TJS,level_L20_p70,"{""higher_share"": 0.7, ""lookback"": 20}",4,0.9743910056214866,1.0114463640381968,25.336958102952572,7.641399352425786,0.5161290322580645,False,False
TJS,level_L250_p70,"{""higher_share"": 0.7, ""lookback"": 250}",4,0.8506113769271666,0.9238456408882132,8.233627308906488,-15.611372223417177,0.3225806451612903,False,False
TJS,level_L250_p90,"{""higher_share"": 0.9, ""lookback"": 250}",4,0.8183943881527669,0.8294452730723119,28.927474555521083,-17.034607455831143,0.16774193548387098,False,False
TJS,level_L20_p80,"{""higher_share"": 0.8, ""lookback"": 20}",4,0.8163849899742195,0.8289767512072055,26.59193261813115,5.510429742659627,0.45161290322580644,False,False
TJS,level_L120_p70,"{""higher_share"": 0.7, ""lookback"": 120}",4,0.7871064467766118,0.8826565788277141,18.994556892971445,-0.8713797683479438,0.45806451612903226,False,False
TJS,level_L120_p95,"{""higher_share"": 0.95, ""lookback"": 120}",4,0.7602635580334517,0.8558739426035149,38.841370649710356,-4.309552406994789,0.2,False,False
TJS,level_L20_p95,"{""higher_share"": 0.95, ""lookback"": 20}",4,0.6983511154219205,0.7489969416152722,41.46826376640229,28.964882126984886,0.2967741935483871,False,False
TJS,level_L20_p90,"{""higher_share"": 0.9, ""lookback"": 20}",4,0.6766553890768486,0.7264381838256508,43.66012663727194,20.447577696939888,0.3548387096774194,False,False
TJS,level_L60_p70,"{""higher_share"": 0.7, ""lookback"": 60}",4,0.6708760852407261,0.7018529673226162,13.734561066680405,0.09734429325989258,0.5096774193548387,False,False
TJS,level_L60_p95,"{""higher_share"": 0.95, ""lookback"": 60}",4,0.6705954074375127,0.740876185410208,34.97123195576059,12.545630474034425,0.2838709677419355,False,False
TJS,level_L60_p80,"{""higher_share"": 0.8, ""lookback"": 60}",4,0.6680451725783363,0.6930903417679466,14.796280073328662,-1.1346888744455224,0.432258064516129,False,False
TJS,level_L60_p90,"{""higher_share"": 0.9, ""lookback"": 60}",4,0.6372325898953117,0.6984186132277155,21.087221274385247,-0.9801049627154185,0.33548387096774196,False,False
TJS,level_L120_p90,"{""higher_share"": 0.9, ""lookback"": 120}",4,0.4907975460122699,0.5529051326885002,13.165454293638831,-3.9526646481976715,0.25161290322580643,False,False
UZS,level_L120_p80,"{""higher_share"": 0.8, ""lookback"": 120}",4,0.8969828757814623,0.9493621040277038,6.336524723478769,-5.37839305274036,0.4967741935483871,False,False
UZS,level_L250_p70,"{""higher_share"": 0.7, ""lookback"": 250}",4,0.8738310593285299,0.9328047098262282,3.6507952861801156,-7.689461993807075,0.4838709677419355,False,False
