strategy_id,train_total_push_count,train_evaluated_signal_count,train_signals_per_week,train_hit_rate,train_random_hit_rate,train_hit_lift,train_benefit_bps,frequency_distance,sample_gate,frequency_gate,lift_gate,benefit_gate,gates_met,currency,policy,signal_family,selection_horizon,fold_start,fold_end,meets_all_train_gates
momentum_streak_5d__spike_only,49,49,0.08687943262411348,0.3469387755102041,0.3359144542772861,1.0328188355473913,66.99202786252026,0.9131205673758865,True,False,False,True,2,TJS,spike_only,spike,3,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,54,54,0.08780487804878048,0.35185185185185186,0.3366002027712065,1.0453108731221181,67.1067702127523,0.9121951219512195,True,False,False,True,2,TJS,spike_only,spike,3,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,68,68,0.3300970873786408,0.25,0.3022312373225152,0.8271812080536912,42.667154872184256,0.6699029126213591,True,False,False,True,2,UZS,spike_only,spike,3,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,80,80,0.311284046692607,0.275,0.31305758313057586,0.8784326424870467,41.94829920525452,0.688715953307393,True,False,False,True,2,UZS,spike_only,spike,3,2019-01-01,2020-01-01,False
momentum_streak_2d__spike_only,182,182,0.5909090909090909,0.2692307692307692,0.30493576741041245,0.8829097731536755,33.160192340391454,0.40909090909090906,True,False,False,True,2,UZS,spike_only,spike,3,2020-01-01,2021-01-01,False
momentum_streak_2d__spike_only,215,215,0.5988857938718662,0.2744186046511628,0.3077816492450639,0.891601579640193,35.29730072178199,0.40111420612813375,True,False,False,True,2,UZS,spike_only,spike,3,2021-01-01,2022-01-01,False
momentum_streak_5d__spike_only,41,41,0.09975669099756691,0.2926829268292683,0.3081218274111675,0.9498935187045445,121.2540604008766,0.9002433090024331,True,False,False,True,2,UZS,spike_only,spike,3,2022-01-01,2023-01-01,False
momentum_streak_5d__spike_only,48,48,0.1038961038961039,0.2916666666666667,0.31078033378439335,0.9384978229317852,135.01955058570942,0.8961038961038961,True,False,False,True,2,UZS,spike_only,spike,3,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,56,56,0.10916179337231968,0.2857142857142857,0.3242694805194805,0.881101376720901,126.18355096372444,0.8908382066276803,True,False,False,True,2,UZS,spike_only,spike,3,2024-01-01,2025-01-01,False
momentum_streak_5d__spike_only,60,60,0.10638297872340426,0.2833333333333333,0.32927728613569324,0.8604703247480402,118.14155368863754,0.8936170212765957,True,False,False,True,2,UZS,spike_only,spike,3,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,65,65,0.10569105691056911,0.3076923076923077,0.32544778641432914,0.9454429267513381,115.06626566371452,0.8943089430894309,True,False,False,True,2,UZS,spike_only,spike,3,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,62,62,0.30097087378640774,0.3387096774193548,0.27918781725888325,1.2131964809384164,79.47179432020239,0.6990291262135923,True,False,True,True,3,AMD,spike_only,spike,4,2018-01-01,2019-01-01,True
momentum_streak_3d__spike_only,71,71,0.27626459143968873,0.36619718309859156,0.28733766233766234,1.2744489536086576,73.04455917533815,0.7237354085603113,True,False,True,True,3,AMD,spike_only,spike,4,2019-01-01,2020-01-01,True
momentum_streak_3d__spike_only,85,85,0.275974025974026,0.3176470588235294,0.2794316644113667,1.1367611451360204,67.79097888197406,0.724025974025974,True,False,False,True,2,AMD,spike_only,spike,4,2020-01-01,2021-01-01,False
momentum_streak_3d__spike_only,100,100,0.2785515320334262,0.29,0.284137129575828,1.0206339468302659,68.08782017182784,0.7214484679665738,True,False,False,True,2,AMD,spike_only,spike,4,2021-01-01,2022-01-01,False
momentum_streak_3d__spike_only,117,117,0.28536585365853656,0.2905982905982906,0.28390045708481465,1.0235921899607052,64.08988410718717,0.7146341463414634,True,False,False,True,2,AMD,spike_only,spike,4,2022-01-01,2023-01-01,False
momentum_streak_3d__spike_only,134,134,0.29004329004329005,0.291044776119403,0.2901624548736462,1.0030407836401198,72.34656488465762,0.7099567099567099,True,False,False,True,2,AMD,spike_only,spike,4,2023-01-01,2024-01-01,False
momentum_streak_3d__spike_only,149,149,0.290448343079922,0.2953020134228188,0.3024766544863987,0.9762803477320842,69.87283628039373,0.7095516569200779,True,False,False,True,2,AMD,spike_only,spike,4,2024-01-01,2025-01-01,False
momentum_streak_3d__spike_only,166,166,0.29432624113475175,0.3132530120481928,0.30911102914053856,1.013399660695287,70.73828379337219,0.7056737588652482,True,False,False,True,2,AMD,spike_only,spike,4,2025-01-01,2026-01-01,False
momentum_streak_3d__spike_only,185,185,0.3008130081300813,0.3027027027027027,0.30425963488843816,0.9948828828828828,69.43776396157814,0.6991869918699187,True,False,False,True,2,AMD,spike_only,spike,4,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,64,64,0.3106796116504854,0.28125,0.2802030456852792,1.0037364130434783,84.8418440483893,0.6893203883495146,True,False,False,True,2,KGS,spike_only,spike,4,2018-01-01,2019-01-01,False
