date,currency,observation_index,calendar_anchor,anchor_day,days_from_anchor,level_percentile_20,attractive,reminder_fallback,signal_source,message_fact
2026-01-20,AMD,3960,2026-01-20,20,0,0.7,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-01-20,KGS,3960,2026-01-20,20,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-01-20,KZT,3960,2026-01-20,20,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-01-20,TJS,3960,2026-01-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-01-20,UZS,3960,2026-01-20,20,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-02-05,AMD,3972,2026-02-05,5,0,0.55,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-02-05,KGS,3972,2026-02-05,5,0,0.65,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-02-05,KZT,3972,2026-02-05,5,0,0.4,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-02-05,TJS,3972,2026-02-05,5,0,0.65,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-02-05,UZS,3972,2026-02-05,5,0,0.8,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 80% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-02-20,AMD,3983,2026-02-20,20,0,0.45,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-02-20,KGS,3983,2026-02-20,20,0,0.5,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-02-20,KZT,3983,2026-02-20,20,0,0.15,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-02-20,TJS,3983,2026-02-20,20,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
